all_names,sd_sp,med_sp,mean_sp,sd_gn,med_gn,mean_gn,sd_fm,med_fm,mean_fm
casse doux,,0.82506575,0.8490998333333333,,0.8049999999999999,0.8194038448275862,0.4097523466825996,0.6875,0.6980207277713621
casse espagnole,,0.82506575,0.8490998333333333,,0.8049999999999999,0.8194038448275862,0.4097523466825996,0.6875,0.6980207277713621
casse hache,,0.8500000000000001,0.8372829411764706,,0.8500000000000001,0.8372829411764706,,0.7625000000000001,0.7678700211351353
casse marron,,0.755,0.755,,0.649545,0.6607672727272726,0.4097523466825996,0.6875,0.6980207277713621
casse-hallier,,0.649545,0.6607672727272726,,0.649545,0.6607672727272726,,,
casser sec,,0.55552,0.565104,,0.535,0.5426873290846153,,0.54125,0.5503809042945451
cassia,,0.6825,0.67995125,,0.649545,0.6607672727272726,0.4097523466825996,0.6875,0.6980207277713621
cassie,,0.8049999999999999,0.8049999999999999,,0.7851487500000001,0.767323963,0.4097523466825996,0.6875,0.6980207277713621
cassier ,,0.8049999999999999,0.8049999999999999,,0.7851487500000001,0.767323963,0.4097523466825996,0.6875,0.6980207277713621
cassier a gros fruits,,0.8049999999999999,0.8194038448275862,,0.8049999999999999,0.8194038448275862,0.4097523466825996,0.6875,0.6980207277713621
