all_names,mean_BYsp,sd_BYsp,mean_BYgn,sd_BYgn,med_BYgn,mean_BYfm,sd_BYfm,mean_BYgnfm,sd_BYgnfm,mean_GWDBYspgnfm,sd_GWDBYspgnfm,mean_GWDBYgnfm,sd_GWDBYgnfm,mean_GWDBYgn,sd_GWDBYgn,mean_GWDspgnfm,sd_GWDspgnfm,mean_GWDgnfm,sd_GWDgnfm,mean_GWDBYgnfm_CAT,sd_GWDBYgnfm_CAT
doule,,,,,,0.8669999999999999,0.21934806000640028,0.8669999999999999,0.21934806000640028,0.63,0.0708232617216773,0.54,0.0941339098036177,0.54,0.0941339098036177,0.63,0.0708232617216773,0.54,0.0941339098036177,0.671522727272727,0.12340172424716199
douleur,,,,,,0.8669999999999999,0.21934806000640028,0.8669999999999999,0.21934806000640028,0.63,0.0708232617216773,0.54,0.0941339098036177,0.54,0.0941339098036177,0.63,0.0708232617216773,0.54,0.0941339098036177,0.671522727272727,0.12340172424716199
drago,0.715,0.0,0.715,0.0,0.7150000000000001,0.7498630136986298,0.15103915116740885,0.715,0.0,0.382875,0.0708232617216773,0.62688578042328,0.0941339098036177,0.62688578042328,0.0941339098036177,0.382875,0.0708232617216773,0.62688578042328,0.0941339098036177,0.361375,0.0941339098036177
dyare,,,,,,,,,,0.7909999999999999,0.0941339098036177,0.7909999999999999,0.0941339098036177,0.7909999999999999,0.0941339098036177,0.7909999999999999,0.0941339098036177,0.7909999999999999,0.0941339098036177,0.37042857142857105,0.12340172424716199
d’eau livre,,,,,,0.6,0.0,0.6,0.0,0.72,0.0941339098036177,0.72,0.0941339098036177,0.72,0.0941339098036177,0.72,0.0941339098036177,0.72,0.0941339098036177,0.5635,0.12340172424716199
d’olive,0.4500000000000001,0.0,0.4605263157894739,0.031530176764230596,0.45,0.5151249999999996,0.10895475125258572,0.4605263157894739,0.031530176764230596,0.462,0.0708232617216773,0.537800273224044,0.0941339098036177,0.537800273224044,0.0941339098036177,0.462,0.0708232617216773,0.539081638418079,0.0941339098036177,0.4847,0.0941339098036177
ebene,,,0.7,0.0,0.7,0.6452564102564102,0.050248706686010676,0.6452564102564102,0.050248706686010676,0.666560597236301,0.10876781702538985,0.666560597236301,0.10876781702538985,0.6593980885395655,0.13559246192272584,0.666384054140304,0.10876781702538985,0.666384054140304,0.10876781702538985,0.6121666666666664,0.10876781702538985
ebenier noir,,,,,,0.5905128205128206,0.10049741337202135,0.5905128205128206,0.10049741337202135,0.64972031727962,0.12340172424716199,0.64972031727962,0.12340172424716199,0.635395299886149,0.177051014041834,0.6494929820179821,0.12340172424716199,0.6494929820179821,0.12340172424716199,0.5243333333333329,0.12340172424716199
ebenn,0.7,0.0,0.7,0.0,0.7,0.6635042735042735,0.03349913779067378,0.6635042735042735,0.03349913779067378,0.666560597236301,0.10876781702538985,0.672174023888528,0.10388984795146579,0.6673990180907042,0.12177294454968979,0.666384054140304,0.10876781702538985,0.6720144115144113,0.10388984795146579,0.6414444444444443,0.10388984795146579
eglise,0.7,0.0,0.7,0.0,0.7,0.7498630136986298,0.15103915116740885,0.7,0.0,0.687,0.0708232617216773,0.7374,0.0941339098036177,0.7374,0.0941339098036177,0.687,0.0708232617216773,0.7374,0.0941339098036177,0.7,0.0941339098036177
endigo,,,,,,0.7489285714285717,0.13673681900628556,0.7489285714285717,0.13673681900628556,0.642583333333333,0.12340172424716199,0.642583333333333,0.12340172424716199,,,0.642583333333333,0.12340172424716199,0.642583333333333,0.12340172424716199,0.75,0.12340172424716199
ene,,,,,,0.55,,0.55,,0.692623015873016,0.12340172424716199,0.692623015873016,0.12340172424716199,0.635395299886149,0.177051014041834,0.692623015873016,0.12340172424716199,0.692623015873016,0.12340172424716199,0.635,0.12340172424716199
epineux,0.5600000000000002,0.0,0.5919230769230771,0.07798339731257066,0.56,0.7283333333333336,0.1881444480534393,0.5919230769230771,0.07798339731257066,0.6023333333333329,0.0708232617216773,0.622329737466834,0.0941339098036177,0.622329737466834,0.0941339098036177,0.6023333333333329,0.0708232617216773,0.6177407287157289,0.0941339098036177,0.631285714285714,0.0941339098036177
erythrine a corail,,,0.3,0.0,0.3,0.7498630136986298,0.15103915116740885,0.3,0.0,0.289050724637681,0.0941339098036177,0.289050724637681,0.0941339098036177,0.289050724637681,0.0941339098036177,0.289050724637681,0.0941339098036177,0.289050724637681,0.0941339098036177,0.3,0.0941339098036177
erythrine bucare,,,0.3,0.0,0.3,0.7498630136986298,0.15103915116740885,0.3,0.0,0.305,0.0708232617216773,0.289050724637681,0.0941339098036177,0.289050724637681,0.0941339098036177,0.305,0.0708232617216773,0.289050724637681,0.0941339098036177,0.3,0.0941339098036177
erythrine des antilles,,,0.3,0.0,0.3,0.7498630136986298,0.15103915116740885,0.3,0.0,0.28,0.0708232617216773,0.289050724637681,0.0941339098036177,0.289050724637681,0.0941339098036177,0.28,0.0708232617216773,0.289050724637681,0.0941339098036177,0.3,0.0941339098036177
erythroxylum arabo,,,,,,,,,,0.7896111111111109,0.0941339098036177,0.7896111111111109,0.0941339098036177,0.7896111111111109,0.0941339098036177,0.7896111111111109,0.0941339098036177,0.7896111111111109,0.0941339098036177,0.64900160729459,0.18970298025815902
espagnol marron,,,0.6,0.0,0.6,0.4692857142857139,0.18047268383439533,0.6,0.0,0.544797565633714,0.12340172424716199,0.544797565633714,0.12340172424716199,,,0.5431032182488761,0.12340172424716199,0.5431032182488761,0.12340172424716199,0.5315763888888889,0.12340172424716199
estologe,,,,,,0.8669999999999999,0.21934806000640028,0.8669999999999999,0.21934806000640028,0.54,0.0941339098036177,0.54,0.0941339098036177,0.54,0.0941339098036177,0.54,0.0941339098036177,0.54,0.0941339098036177,0.671522727272727,0.12340172424716199
eucalyptus,0.7350000000000001,0.0,0.735,0.0,0.735,0.8303124999999999,0.12751304487346865,0.735,0.0,0.7566477272727273,0.0708232617216773,0.8300925813264409,0.0941339098036177,0.8300925813264409,0.0941339098036177,0.7566477272727273,0.0708232617216773,0.8300925813264409,0.0941339098036177,0.735,0.0941339098036177
eugenie axillaire,,,1.3,,1.3,0.8303124999999999,0.12751304487346865,1.3,0.12751304487346865,0.7227602739726031,0.0941339098036177,0.7227602739726031,0.0941339098036177,0.7227602739726031,0.0941339098036177,0.7227602739726031,0.0941339098036177,0.7227602739726031,0.0941339098036177,1.0,0.0941339098036177
eugenie bignolle,,,1.3,,1.3,0.8303124999999999,0.12751304487346865,1.3,0.12751304487346865,0.7227602739726031,0.0941339098036177,0.7227602739726031,0.0941339098036177,0.7227602739726031,0.0941339098036177,0.7227602739726031,0.0941339098036177,0.7227602739726031,0.0941339098036177,1.0,0.0941339098036177
eugenie blanche,,,1.3,,1.3,0.8303124999999999,0.12751304487346865,1.3,0.12751304487346865,0.7227602739726031,0.0941339098036177,0.7227602739726031,0.0941339098036177,0.7227602739726031,0.0941339098036177,0.7227602739726031,0.0941339098036177,0.7227602739726031,0.0941339098036177,1.0,0.0941339098036177
eugenie gradissime,,,1.3,,1.3,0.8303124999999999,0.12751304487346865,1.3,0.12751304487346865,0.7227602739726031,0.0941339098036177,0.7227602739726031,0.0941339098036177,0.7227602739726031,0.0941339098036177,0.7227602739726031,0.0941339098036177,0.7227602739726031,0.0941339098036177,1.0,0.0941339098036177
eugenie petites-feuilles,,,1.3,,1.3,0.8303124999999999,0.12751304487346865,1.3,0.12751304487346865,0.7227602739726031,0.0941339098036177,0.7227602739726031,0.0941339098036177,0.7227602739726031,0.0941339098036177,0.7227602739726031,0.0941339098036177,0.7227602739726031,0.0941339098036177,1.0,0.0941339098036177
eugenie rhombiforme,,,1.3,,1.3,0.8303124999999999,0.12751304487346865,1.3,0.12751304487346865,0.7227602739726031,0.0941339098036177,0.7227602739726031,0.0941339098036177,0.7227602739726031,0.0941339098036177,0.7227602739726031,0.0941339098036177,0.7227602739726031,0.0941339098036177,1.0,0.0941339098036177
euphorbe bon-garcon,,,,,,0.4692857142857139,0.18047268383439533,0.4692857142857139,0.18047268383439533,0.457,0.0941339098036177,0.457,0.0941339098036177,0.457,0.0941339098036177,0.457,0.0941339098036177,0.457,0.0941339098036177,0.5315763888888889,0.12340172424716199
